ID,sf_id,title,section
29299,SF-COMP-10,Verify individual-line Complete and per-part receive actions still work alongside Simple completion,Completion — No-PO / Skip (Story 2)
29300,SF-COMP-11,"Verify the optional-invoice completion wizard offers Receive Parts, Complete Without Receiving and Cancel",Completion — PO + Optional Invoice (Story 3)
29301,SF-COMP-12,Verify the optional-invoice modal creates POs in the background and shows the count of parts to receive,Completion — PO + Optional Invoice (Story 3)
29302,SF-COMP-13,Verify Receive Parts opens the shared Accept Delivery page to receive all vendors at once,Completion — PO + Optional Invoice (Story 3)
29303,SF-COMP-14,"Verify Complete Without Receiving completes the WO, keeps unreceived parts waiting, and keeps the line Receive button",Completion — PO + Optional Invoice (Story 3)
29304,SF-COMP-15,Verify Cancel closes the completion modal with no change and no duplicate POs on re-open,Completion — PO + Optional Invoice (Story 3)
29305,SF-COMP-16,Verify the completion modal collects the missing required vehicle fields (Mileage and Engine Hours; no VIN field in the modal),Completion — PO + Optional Invoice (Story 3)
29306,SF-COMP-17,Verify the optional-invoice flow reaches the Success screen with WO number and total,Completion — PO + Optional Invoice (Story 3)
29307,SF-COMP-18,Verify the required-invoice wizard disables Complete until parts are received and offers no skip option,Completion — PO + Required Invoice (Story 4)
29308,SF-COMP-19,Verify the required-invoice receive round-trip returns to the modal and enables Complete once all received,Completion — PO + Required Invoice (Story 4)
29309,SF-COMP-20,Verify Cancel in the required-invoice wizard makes no change to the work order,Completion — PO + Required Invoice (Story 4)
29310,SF-COMP-21,Verify on a required-invoice work order an unapproved line disables the Complete Work Order button with a tooltip,Completion — Line approval gate
29311,SF-COMP-22,Verify a manually unapproved line disables the required-invoice Complete Work Order button with a tooltip even when Auto-approve is ON,Completion — Line approval gate
29312,SF-COMP-23,Verify re-running completion after a prior attempt does not create duplicate POs,Completion — Idempotency
29313,SF-CORE-01,Verify inventory cores are resolved via a line-level Ok/Not-OK control (no distinct Resolve-Cores wizard step),Core parts — Completion modal (Stories 3/4/16)
29314,SF-CORE-02,Verify a work order with no cores completes with no core sub-lines and no Resolve-Cores wizard step,Core parts — Completion modal
29315,SF-CORE-03,Verify a Resolve cores screen appears before the Receive parts / Complete without receiving choice and only an undecided core blocks completing,Core parts — Completion modal
29316,SF-CORE-04,Verify the 'Cores pending' indication reflects only undecided special-order cores (a decided core clears it),Core parts — Invoice gate
29319,SF-CORE-07,Verify the required-invoice flow asks to resolve special-order cores FIRST and then to receive them,Core parts — Required invoice (Story 4)
29320,SF-CORE-08,Verify the completion and invoice gates detect an undecided special-order core that exists only as a requested part,Core parts — Guardrail
29322,SF-CORE-10,Verify the core '+$ to invoice' amount is shown at the line level as a core is marked Not-OK (no Resolve-Cores wizard total),Core parts — Resolve step UI
29360,SF-INV-01,"Verify each vendor group has an invoice number field under the vendor name, available only when at least one PO of that vendor is selected (no Apply button)",Apply Invoice to Selected POs (Story 9)
29361,SF-INV-02,"Verify a typed invoice number fills only the selected POs of that vendor with no Apply click, still editable per PO",Apply Invoice to Selected POs (Story 9)
29362,SF-INV-03,"Verify the vendor invoice number field is scoped per vendor, absent for the vendorless group, and allows a reused invoice number",Apply Invoice to Selected POs (Story 9)
29405,SF-PERM-01,Verify only owner/admin can view and modify Work Order settings (non-admin blocked),API — Permissions
29406,SF-PERM-02,Verify which roles can complete a work order (Simple completion),Permissions
29407,SF-PERM-03,Verify which roles can perform Bulk Receive,Permissions
29408,SF-PERM-04,Verify which roles can Mark Reviewed (sign off),Permissions
29409,SF-PERM-05,Verify the PO Receive button is hidden for office/readonly users,Permissions
29410,SF-PERM-06,Verify permission gating of Simple-Flow settings and work-order actions (UI gating is the v1 pass criterion),API — Permissions
29411,SF-PERM-07,Verify review sign-off is governed by the Review Work Orders custom-role permission (not open to all),Permissions
29412,SF-PERM-08,Verify a user who holds the Mark Reviewed permission can Mark Reviewed a work order they completed,Permissions
29413,SF-PERM-09,Verify a Technician cannot add a vendorless / no-part-number part (lacks See Financial Data),Permissions
29414,SF-PERM-10,Verify the Complete Work Order action follows the per-role completion permission matrix,Permissions
29363,SF-PNFIX-01,Verify a no-number part shows 'Missing part number' with Edit → enter → save that persists immediately,Inline Part-Number Fix (Story 10)
29364,SF-PNFIX-02,Verify entering a NEW part number creates a new inventory/catalog part with stock and Part History on receive,Inline Part-Number Fix (Story 10)
29365,SF-PNFIX-03,Verify entering an EXISTING part number links to that item and updates stock/cost/history without overwriting description or category,Inline Part-Number Fix (Story 10)
29366,SF-PNFIX-04,Verify inline part-number field-locking rules match the receive-screen rules (sell locks after invoiced/paid),Inline Part-Number Fix (Story 10)
29367,SF-PNFIX-05,"Verify a part cannot be received without a part number, a vendor (for vendor-missing) and a cost / sell price, even on an invoiced/paid WO",Inline Part-Number Fix (Story 10)
29368,SF-PNFIX-06,"Verify the inline part-number save drives real catalog creation/linking, inventory stock and Part History (not just a stored string)",Inline Part-Number Fix (Story 10)
29344,SF-POSEL-01,Verify the PO list has a select-all checkbox and per-PO checkboxes,PO Multi-Select (Story 7)
29345,SF-POSEL-02,"Verify selecting POs shows a bar with 'N purchase orders selected', Clear and Receive Selected",PO Multi-Select (Story 7)
29346,SF-POSEL-03,Verify Receive Selected opens the PO Bulk Receive page carrying the selected POs,PO Multi-Select (Story 7)
29347,SF-POSEL-04,Verify fulfilled (already-received) POs are not selectable,PO Multi-Select (Story 7)
29348,SF-POSEL-05,Verify Vendor Missing POs are selectable and clearly indicated in the list,PO Multi-Select (Story 7)
29349,SF-POSEL-06,Verify select-all only toggles POs on the current page/filter,PO Multi-Select (Story 7)
29426,SF-QB-01,Verify in-stock parts decrement inventory and write Part History on simple completion (skip path still runs lifecycle),QuickBooks / Inventory Integrity
29427,SF-QB-02,"Verify Create POs OFF produces no PO, vendor bill or AP sync and no catalog/inventory sync",QuickBooks / Inventory Integrity
29428,SF-QB-03,Verify POs ON plus receiving runs the full pipeline: receive → Delivery → Vendor Bill → QuickBooks (both surfaces sync),QuickBooks / Inventory Integrity
29429,SF-QB-04,Verify a vendorless / no-PN part has zero inventory interaction until a vendor and/or part number is added,QuickBooks / Inventory Integrity
29430,SF-QB-05,Verify Vendor Missing POs are excluded from QuickBooks until a vendor and part number are provided,QuickBooks / Inventory Integrity
29431,SF-QB-06,Verify cost at completion behavior to avoid $0-cost margins in QuickBooks,QuickBooks / Inventory Integrity
29432,SF-QB-07,Verify the Journal Entry / Inventory sync to QuickBooks fires on invoice creation (not PO-dependent),QuickBooks / Inventory Integrity
29433,SF-QB-08,Verify Inventory Part History is preserved for any part that becomes inventory-tracked,QuickBooks / Inventory Integrity
29369,SF-RCV-01,Verify a Receive action appears on WO-originated POs in both the PO list and the PO detail card,Receive Button on WO POs (Story 11)
29370,SF-RCV-02,Verify the Receive action opens the shared Accept Delivery surface,Receive Button on WO POs (Story 11)
29371,SF-RCV-03,Verify the Receive action is hidden for office/readonly users and for fulfilled POs,Receive Button on WO POs (Story 11)
29372,SF-RCV-04,"Verify the existing Accept Delivery screen groups by vendor with per-group invoice #, date, tax, note and Receive",Accept Delivery (Story 12)
29373,SF-RCV-05,"Verify vendorless / no-part-number Work Order parts appear and can be received on the Receive (Accept Delivery) screen, and the Vendor Missing group sits per the agreed rule (top on Bulk Receive, bottom on the Receive screen)",Accept Delivery (Story 12)
29374,SF-RCV-06,"Verify Accept Delivery receive gates: vendor set, part number entered, cost / sell price entered, vendor invoice # captured",Accept Delivery (Story 12)
29375,SF-RCV-07,Verify the multi-vendor '+N' indicator and the Vendor Missing group position on the receiving screens,Accept Delivery (Story 12)
29376,SF-RCV-08,Verify each vendor group produces its own vendor bill and separate AP entry in QuickBooks,Accept Delivery (Story 12)
29377,SF-RCV-09,Verify a 'received more than ordered' warning appears when received quantity exceeds ordered quantity,Accept Delivery (Story 12)
29386,SF-REV-01,Verify the Require Review setting drives the review flow when turned on,Review ON (Story 16)
29387,SF-REV-02,Verify the completion action reads 'Send To Review' when Require Review is on,Review ON (Story 16)
29388,SF-REV-03,Verify the Details step collects only mileage and engine hours when review is on (VIN captured later by reviewer),Review ON (Story 16)
29389,SF-REV-04,Verify 'Receive Parts' routes to the shared receive page (no inline modal) in the review flow,Review ON (Story 16)
29390,SF-REV-05,Verify Send to Review moves the WO to Review (amber) with a 'Ready for Review' banner and locks lines to Complete,Review ON (Story 16)
29391,SF-REV-06,Verify the Mark Reviewed dialog captures VIN (required) and disables Confirm until VIN is entered,Review ON (Story 16)
29392,SF-REV-07,Verify on Send to Review lines lock to Complete and inventory is auto-picked,Review ON (Story 16)
29393,SF-REV-08,Verify Confirm Review signs off and completes the work order directly (no distinct Reviewed holding state),Review ON (Story 16)
29394,SF-REV-09,Verify Mark Reviewed is gated by the Review Work Orders permission and disabled for a role without it,Review ON (Story 16)
29395,SF-REV-10,Verify the Mark Reviewed dialog includes VIN / Serial # (required) with no review note field,Review ON (Story 16)
29396,SF-REV-11,Verify sign-off completes the work order directly (no separate final Complete) and invoicing is blocked until reviewed,Review ON (Story 16)
29397,SF-REV-12,Verify a 'Ready for Review' list filter/column surfaces the reviewer queue,Review ON (Story 16)
29398,SF-REV-13,Verify all lines must be approved before Send To Review (the 'Send To Review' action is disabled until every line is approved),Review ON (Story 16)
29399,SF-REV-14,"Verify cores are decided before receiving ahead of Send to Review, and invoicing stays blocked until Reviewed and every core is decided",Review ON (Story 16)
29400,SF-REV-15,"Verify Require Review Before Completion starts ON for a brand-new organization, and existing organizations keep today's behavior",Review ON (Story 16)
29275,SF-SET-01,Verify the Work Orders settings tab lists all Work Order setting toggles in order,Work Order Settings
29276,SF-SET-02,Verify there is no operating-mode selector and no VIN-required setting on the Work Order settings page,Work Order Settings
29277,SF-SET-03,Verify a 'Create Purchase Orders' toggle exists on the Work Orders tab and controls the Vendor Invoice setting,Work Order Settings
29278,SF-SET-04,Verify the Require Vendor Invoice Number toggle is present with helper text and drives Optional vs Required completion,API — Work Order Settings
29279,SF-SET-05,Verify Auto-approve Lines ON approves a work-order line the moment it is added,Work Order Settings
29280,SF-SET-06,Verify Auto-approve Lines OFF leaves a new line in Needs Approval with Approve/Decline actions,Work Order Settings
29281,SF-SET-07,"Verify existing settings (tech story, mileage, engine hours, auto-pick) display the org's current values",API — Work Order Settings
29282,SF-SET-08,"Verify first-use defaults on a brand-new org (auto-approve OFF, create POs ON, vendor invoice REQUIRED)",Work Order Settings
29283,SF-SET-09,Verify saving a settings change persists after page reload,API — Work Order Settings
29284,SF-SET-10,Verify a settings change applies to future completions only and not to already-completed work orders,Work Order Settings
29285,SF-SET-11,Verify a non-admin user cannot see or modify the Work Order settings,API — Work Order Settings
29286,SF-SET-12,Verify the settings model contains no operatingMode field and no requireVin setting,API — Work Order Settings
29287,SF-SET-13,Verify the Save Settings button is only enabled when there is an unsaved change,Work Order Settings
29288,SF-SET-14,Verify the Require Review Before Completion toggle is present on the settings page and drives the review flow,Work Order Settings
29289,SF-SET-15,Verify every Work Order setting toggle has descriptive helper text,Work Order Settings
29323,SF-TECH-01,Verify each work order line shows a Story sub-row with an 'Add tech story for this line' link when empty,Tech Story Flow (Story 17)
29324,SF-TECH-02,Verify with Require tech story ON every line needs a story before the work order can complete,Tech Story Flow (Story 17)
29325,SF-TECH-03,Verify Complete opens the tech-story modal first and then chains into completion (order: tech story → parts → complete),Tech Story Flow (Story 17)
29326,SF-TECH-04,"Verify the tech-story modal structure (header, per-line card, Line X of N, required textarea, disabled Next)",Tech Story Flow (Story 17)
29327,SF-TECH-05,"Verify multi-line tech-story navigation (Back after line 1, Continue/Save on the last line)",Tech Story Flow (Story 17)
29328,SF-TECH-06,"Verify a saved tech story renders inline with a green check, the text and an Edit link",Tech Story Flow (Story 17)
29329,SF-TECH-07,Verify the tech-story modal has a text box for typing the story,Tech Story Flow (Story 17)
29330,SF-TECH-08,Verify tech story is captured both inline and via the gate modal (Story 17 supersedes on-the-line-only wording),Tech Story Flow (Story 17)
29401,SF-UX-01,Verify the work order primary button reads 'Create Work Order',UX Refinements (Story 15)
29402,SF-UX-02,Verify required fields at completion appear in a centralized center modal and the tech story is NOT in that modal,UX Refinements (Story 15)
29403,SF-UX-03,"Verify the success screen shows WO number and total with Done and Go to Invoice, and the invoice number is on the Finance step",UX Refinements (Story 15)
29404,SF-UX-04,Verify the close-confirmation modal behavior (Close = closes modal only; Cancel = closes modal + returns to previous screen),UX Refinements (Story 15)
29415,SF-VAL-01,Verify completion is blocked when required mileage is missing,Validation / Edge
29416,SF-VAL-02,Verify completion is blocked when a required VIN is missing (non-review No-PO / Optional-invoice flow),Validation / Edge
29417,SF-VAL-03,Verify completion is blocked when required engine hours are missing,Validation / Edge
29418,SF-VAL-04,Verify the tech-story Next/Continue button stays disabled while the story textarea is empty,Validation / Edge
29419,SF-VAL-05,Verify a required-invoice receive is blocked without a vendor invoice number,Validation / Edge
29420,SF-VAL-06,"Verify a vendor-missing part cannot be received without a vendor, a part number, and a cost / sell price",Validation / Edge
29421,SF-VAL-07,Verify Confirm Review is disabled until a VIN is entered in the Mark Reviewed dialog,Validation / Edge
29422,SF-VAL-08,Verify re-completing after cancelling does not create duplicate POs,Validation / Edge
29423,SF-VAL-09,Verify the sell field is locked after the work order is invoiced/paid with a lock icon and tooltip,Validation / Edge
29424,SF-VAL-10,Verify the same vendor invoice number can be reused across POs (uniqueness relaxed),Validation / Edge
29425,SF-VAL-11,Verify an unapproved line blocks completion — required-invoice shows a disabled Complete button with a tooltip; other flows show the approve-line error,Validation / Edge
29378,SF-VEND-01,Verify the vendor-missing group provides a vendor dropdown that assigns a vendor at PO level and saves it,Assign Vendor + Merge (Story 13)
29379,SF-VEND-02,Verify assigning a vendor already on this PO prompts 'Add to {vendor}?' with Merge vs Keep Separate,Assign Vendor + Merge (Story 13)
29380,SF-VEND-03,Verify assigning a vendor that is on another PO for the same WO prompts to merge the POs,Assign Vendor + Merge (Story 13)
29381,SF-VEND-04,"Verify assigning a different vendor with no collision auto-assigns and clears the QB flag, and Receive enables only once the part number and cost / sell price are also present",Assign Vendor + Merge (Story 13)
29382,SF-VEND-05,"Verify vendor matching is by ID (not name), merge is scoped to the same WO, and receiving is blocked when the WO is invoiced/paid",Assign Vendor + Merge (Story 13)
29338,SF-VMIS-01,Verify a vendorless vendor-part goes onto the work order's normal PO with no separate dummy PO,Vendor Missing on WO PO (Story 6)
29339,SF-VMIS-02,Verify a 'Vendor Missing +N' indication shows on the PO list and PO detail,Vendor Missing on WO PO (Story 6)
29340,SF-VMIS-03,Verify a Vendor Missing PO is flagged and excluded from QuickBooks sync,Vendor Missing on WO PO (Story 6)
29341,SF-VMIS-04,Verify a Vendor Missing PO offers options to select a vendor and enter/edit the part number,Vendor Missing on WO PO (Story 6)
29342,SF-VMIS-05,Verify the Vendor Missing flag clears once both a vendor and a part number are provided,Vendor Missing on WO PO (Story 6)
29343,SF-VMIS-06,Verify a Vendor Missing PO's spend is excluded from the QuickBooks Vendor Bill export and the Vendors Expenses report until a vendor is assigned,Vendor Missing on WO PO (Story 6)
29331,SF-VPART-01,"Verify a vendorless part can be requested with description, quantity and category (part number, cost, vendor and sell price left empty)",Vendorless / No-PN Part (Story 5)
29332,SF-VPART-02,"Verify adding a part is blocked when description, quantity or category is missing (sell price not enforced)",Vendorless / No-PN Part (Story 5)
29333,SF-VPART-03,Verify a vendorless part's type uses the existing source field (vendor or found) and never inventory,Vendorless / No-PN Part (Story 5)
29334,SF-VPART-04,Verify a vendorless part is editable after creation,Vendorless / No-PN Part (Story 5)
29335,SF-VPART-05,Verify a no-part-number part creates no inventory item and no Part History,Vendorless / No-PN Part (Story 5)
29336,SF-VPART-06,Verify adding a part number and vendor later transitions the part out of vendorless,Vendorless / No-PN Part (Story 5)
29337,SF-VPART-07,Verify a vendorless / no-PN part cannot be received until a part number (and vendor) is entered,Vendorless / No-PN Part (Story 5)
29383,SF-WOP-01,Verify an optional 'Waiting on Parts' column can be enabled from the column selector and shows the unreceived-parts count per WO,Waiting on Parts Column (Story 14)
29384,SF-WOP-02,Verify clicking the Waiting on Parts count opens Accept Delivery for the WO's first unreceived PO,Waiting on Parts Column (Story 14)
29385,SF-WOP-03,Verify a work order with nothing to receive shows '—' with no link in the Waiting on Parts column,Waiting on Parts Column (Story 14)
29439,SF-VMIS-07,"Verify a sell-price-only part is orderable from the line's Order action, joins the Vendor-Missing PO and moves to waiting-to-receive",Vendor Missing on WO PO (Story 6)
29440,SF-RCV-10,Verify cost is editable on the Accept Delivery screen when $0 or missing (parity with Bulk Receive),Accept Delivery (Story 12)
29442,SF-VEND-06,Verify a part cannot be received until a missing cost / sell price is entered,Assign Vendor + Merge (Story 13)
29461,SF-AUTO-01,Verify resolving the last open line by completing a single line auto-completes the work order when Require Review is off,Auto-Complete Trigger (Story 16 R12/R13)
29462,SF-AUTO-02,Verify resolving the last open lines in bulk (several at once) auto-completes the work order when Require Review is off,Auto-Complete Trigger (Story 16 R12/R13)
29463,SF-AUTO-03,Verify a split that leaves a work order fully resolved auto-completes that work order when Require Review is off,Auto-Complete Trigger (Story 16 R12/R13)
29464,SF-AUTO-04,Verify deleting a line so the remaining lines are all resolved auto-completes the work order when Require Review is off,Auto-Complete Trigger (Story 16 R12/R13)
29465,SF-AUTO-05,"Verify that with Require Review on, resolving the last open line routes the work order to Ready for Review instead of auto-completing",Auto-Complete Trigger (Story 16 R12/R13)
29466,SF-AUTO-06,Verify a clock-out that finishes the last line routes the work order to Ready for Review even when Require Review is off,Auto-Complete Trigger (Story 16 R12/R13)
29467,SF-AUTO-07,"Verify the work order status transitions on the backend when the last open line is resolved (auto-Complete when review off, Ready for Review when review on)",API — Auto-Complete Trigger (Story 16)
29892,SF-CORE-11,"Verify the Resolve cores screen lists every un-received vendor core with part info, core charge and OK / Not OK, plus an invoice-accuracy message",Core parts — Pre-Resolve (Story 18)
29893,SF-CORE-12,"Verify marking a core Not OK immediately adds the core charge to the work order total and customer invoice, while OK adds no charge",Core parts — Pre-Resolve (Story 18)
29894,SF-CORE-13,Verify completion and invoice creation are blocked only while a core is undecided — a decided core does not block,Core parts — Pre-Resolve (Story 18)
29895,SF-CORE-14,"Verify receiving a pre-resolved core auto-applies the saved decision: OK creates exactly one vendor return, Not OK creates none, the invoice never changes, retries create no duplicates",Core parts — Pre-Resolve (Story 18)
29896,SF-CORE-15,"Verify the receive dialog locks quantity to the full remaining amount once the work order is invoiced/paid, with the core auto-selected and an explanatory tooltip",Core parts — Pre-Resolve (Story 18)
29897,SF-CORE-16,"Verify the Lines tab shows the core decision state before and after receive: 'Core decision pending', 'Core OK — return to vendor, no charge', 'Core Not OK — customer charged'",Core parts — Pre-Resolve (Story 18)
29898,SF-CORE-17,Verify a core decision cannot be changed once the work order has an active invoice,Core parts — Pre-Resolve (Story 18)
29899,SF-CORE-18,API: Verify POST /api/work-orders/{id}/pre-resolve-cores persists the core decision on the part request with no side-effect records,API — Core Pre-Resolve (Story 18)
29900,SF-CORE-19,API: Verify resolving a received core via the existing handle-core endpoints also writes the decision back to the linked core part request,API — Core Pre-Resolve (Story 18)
29901,SF-RCV-11,"Verify returning from receiving lands on the exact work order line the receive started from, not the top of the work order",Receive Button on WO POs (Story 11)
29902,SF-RCV-12,Verify clicking Receive on a single work order part opens Accept Delivery showing all of that vendor's to-receive parts plus the vendorless group,Accept Delivery (Story 12)
29903,SF-RCV-13,"Verify a vendorless part can be assigned a vendor / merged into the single-part receive on the spot, reusing the same invoice number",Accept Delivery (Story 12)
29904,SF-VEND-07,Verify an assigned vendor stays changeable via the same dropdown until the part is received or the work order is invoiced/paid,Assign Vendor + Merge (Story 13)
29905,SF-VEND-08,Verify the part number stays editable via the edit icon after entry until the part is received or the work order is invoiced/paid,Assign Vendor + Merge (Story 13)
29906,SF-POSEL-07,Verify part-sale-originated POs appear in the PO list and are selectable like work-order POs,PO Multi-Select (Story 7)
29907,SF-BULK-11,Verify a part-sale-originated PO can be received on the Bulk Receive page like a work-order PO,PO Bulk Receive Page (Story 8)
29908,SF-WOP-04,Verify part-sale orders behave with the Waiting on Parts column — unreceived count and receive shortcut work without errors,Waiting on Parts Column (Story 14)
29909,SF-QB-09,Verify part-sale order status transitions are not regressed by the shared order/status logic (requested to waiting-to-receive to received),QuickBooks / Inventory Integrity
